Borehole_Name,Source_ID,From_Depth,To_Depth,Depth_Units,From_Depth_mbgs,To_Depth_mbgs,Int_Top_Depth,Int_Bot_Depth,Pri_Material,Sec_Material,Colour,Full_Text,Comment
108,1,15,58,feet,4.57,17.68,4.57,17.68,clay,,dark grey,Dark grey till very silty clay with occasional pebbles,
108,1,58,69,feet,17.68,21.03,17.68,21.03,till,shale,,Till with abundant local shale bedrock fragments,
108,1,69,70,feet,21.03,21.34,21.03,21.34,shale,,grey,Bedrock grey shale weathered brown slightly silty. TD 70.,
109,1,0,21,feet,0,6.4,0,6.4,sand,,brown,Outwash sand very silty weathered brown coarse to fine grain with occasional pebbles.,See log for blow counts.
109,1,21,40,feet,6.4,12.19,6.4,12.19,till,,dark grey,"Sand  Water table 21. Till, dark grey, silty with common pebbles.",
109,1,40,74,feet,12.19,22.56,12.19,22.56,till,,dark grey,Till dark grey silty with few pebbles,See log for Std. Penetrometer blow counts.
11,1,0,10,feet,0,3.05,0,3.05,till,,brown,Till brown; weathered silty; with occasional pebbles,
11,1,10,30,feet,3.05,9.14,3.05,9.14,till,,grey,Till grey partly unweathered. a/a. Grey very silty smooth till.,
11,1,30,37.5,feet,9.14,11.43,9.14,11.43,sandy till,,grey,Water at 30; sandy till. Very fine sand; grey with black specks.,Depth unclear on log.
11,1,37.5,85,feet,11.43,25.91,11.43,25.91,till,,dark grey,"Till dark grey, silty; very pebbly",Depth unclear on log.
11,1,85,89.5,feet,25.91,27.28,25.91,27.28,shale,,brown,Bedrock; weathered to 89.5 brown shale silty changes to dark grey very silty firm shale minor nodules.,
11,1,89.5,90,feet,27.28,27.43,27.28,27.43,shale,silty shale,dark grey,,
110,1,0,5,feet,0,1.52,0,1.52,till,,brown,"Till, brown, weathered, very silty",
110,1,5,9,feet,1.52,2.74,1.52,2.74,shale,,brown,"Bedrock - brown shale, very silty",
111,1,0,17,feet,0,5.18,0,5.18,till,,brown,Brown weathered till with sandy patches and common white patches due to leeching. Less weathered till with depth.,
111,1,17,23,feet,5.18,7.01,5.18,7.01,till,,grey,Grey till with minor pebbles. 23 Water table.,
111,1,23,24,feet,7.01,7.32,7.01,7.32,till,clay and shale,dark grey,"Till l/mixed with good clay and shale, dark grey.","Text not written clearly, unsure of meaning"
111,1,24,28,feet,7.32,8.53,7.32,8.53,shale,silty shale,dark grey,Dark grey silty shale. Bedrock.,
111,1,28,34,feet,8.53,10.36,8.53,10.36,shale,bentonitic shale,brown,"Shale, brown, very bentonitic.",
112,1,0,7,feet,0,2.13,0,2.13,till,,brown,"Till, brown, silty",
112,1,7,14,feet,2.13,4.27,2.13,4.27,clay,,,"Clay - very silty, bentonitic? Resembles Edmonton Formation",
113,1,0,2,feet,0,0.61,0,0.61,?,,,,
113,1,2,7,feet,0.61,2.13,0.61,2.13,till,,brown,"Till, brown, silty, clean, gypsiferous - looks like clay deposit",
113,1,7,9,feet,2.13,2.74,2.13,2.74,bedrock,,brown grey,"Bedrock, brown-grey, firm",
114,1,0,3,feet,0,0.91,0,0.91,fill,,,Fill material,
114,1,3,9,feet,0.91,2.74,0.91,2.74,clay,,brown,"Brown, gypsiferous clay, weathered Lake Type deposit becoming sandy towards base.",
114,1,9,11,feet,2.74,3.35,2.74,3.35,clay,,yellow brown,"Clay, yellowish brown, very silty (sticky)",
114,1,11,13,feet,3.35,3.96,3.35,3.96,bedrock,,greenish grey,"Bedrock - greenish grey silty, dry",
115,1,0,6,feet,0,1.83,0,1.83,till,,brown,"Till, brown, weathered",
115,1,6,8,feet,1.83,2.44,1.83,2.44,clay,,light yellow,"Bedrock - very silty, smooth, clay light yellow - weathering",
116,1,0,6,feet,0,1.83,0,1.83,till,,brown,Brown till,
116,1,6,6.5,feet,1.83,1.98,1.83,1.98,sand,,,"Sand, glacial, coarse - very fine grain, clean, weathered, wet.",
116,1,6.5,10,feet,1.98,3.05,1.98,3.05,till,,"brown, yellow","Till, brown, yellow, very silty clay, rare pebbles.",
116,1,10,14,feet,3.05,4.27,3.05,4.27,shale,,brown to grey to pale green,"Brown bedrock - shale, silty. 11 - 14: Bedrock, less weathered, grey, silty. Change color at 13 to pale green believe to be due to iron weathering.",
117,1,0,8,feet,0,2.44,0,2.44,till,,yellowish brown,"Till, brown, clayey weathered, yellowish.",
117,1,8,9,feet,2.44,2.74,2.44,2.74,silty shale,,greenish grey,"Greenish grey silty shale, dry.",
118,1,0,5,feet,0,1.52,0,1.52,till,,brown,"Brown till, sandy with occasional pebbles",
118,1,5,9,feet,1.52,2.74,1.52,2.74,shale,,brown to olive yellow,"Brown shale, silty, with .... to olive yellow",
119,1,0,4,feet,0,1.22,0,1.22,fill,,,"Fill, black dirt etc.",
119,1,4,13,feet,1.22,3.96,1.22,3.96,till,,brown,Brown till,
119,1,13,20,feet,3.96,6.1,3.96,6.1,till,,grey,Grey till,
119,1,20,24,feet,6.1,7.32,6.1,7.32,sandstone,,blue grey,"Blue grey sandstone, bedrock",
12,1,0,15,feet,0,4.57,0,4.57,till,,brown yellow,"Till, brown yellow, weathered, silty",
12,1,15,60,feet,4.57,18.29,4.57,18.29,till,,grey,"Till, grey, very silty with pebbles. 40: Till, grey very silty very stony.",
12,1,60,65,feet,18.29,19.81,18.29,19.81,till,sand,,Till probably has sand layer from 60-65 producing water.,
12,1,65,85,feet,19.81,25.91,19.81,25.91,till,,,Bottom in till 85.,
120,1,0,10,feet,0,3.05,0,3.05,till,,brown,Brown till,
120,1,10,14,feet,3.05,4.27,3.05,4.27,siltstone,,light brown,"Bedrock, light brown, fine sandy siltstone.",
121,1,0,6,feet,0,1.83,0,1.83,clay,,yellow brown and bluish grey,"Very silty, yellow brown and bluish grey clay - Till",
121,1,6,8,feet,1.83,2.44,1.83,2.44,bedrock,,grey to brown grey,"Bedrock grey - brown grey, silty, firm",
122,1,0,4,feet,0,1.22,0,1.22,fill,,,Fill material,
122,1,4,11,feet,1.22,3.35,1.22,3.35,till,,bluish grey,"Till - grey, with bluish cast, very silty, rare pebbles",
122,1,11,13,feet,3.35,3.96,3.35,3.96,clay,,greenish grey,"Bedrock - greenish grey, very silty clay, dry",
123,1,0,12,feet,0,3.66,0,3.66,till,,brown,"Till, brown, slightly weathered",
123,1,12,13,feet,3.66,3.96,3.66,3.96,bedrock,,bluish grey,"Bedrock, bluish grey, silty, slightly weathered.",
124,1,0,5,feet,0,1.52,0,1.52,till,,brown,Brown till with common pebbles,
124,1,5,6,feet,1.52,1.83,1.52,1.83,sandstone,,,Sandstone - very silty and clayey,
124,1,6,10,feet,1.83,3.05,1.83,3.05,shale,,brown,"Bedrock, brown, silty shale",
124,1,10,14,feet,3.05,4.27,3.05,4.27,clayey material,,brown - yellow,"Very clayey material, brown-yellow, silty",
125,1,0,11,feet,0,3.35,0,3.35,till,,brown,"Till, brown, silty to sandy with carbonaceous material and pebbles. Water table at 11.",
125,1,11,14,feet,3.35,4.27,3.35,4.27,sand,,,"Sand, very fine grain to coarse, clean with abundant black and pink specks (qtz).",
125,1,14,32,feet,4.27,9.75,4.27,9.75,till,clay,grey,"Till - 32 Grey, silty with abundant pebbles very smooth clay layered - Lake? with till at base",
125,1,32,41,feet,9.75,12.5,9.75,12.5,silty shale,,brown grey,Bedrock - brown-grey silty shale with minor concretions,
126,1,0,3,feet,0,0.91,0,0.91,fill,,,Fill material,
126,1,3,10,feet,0.91,3.05,0.91,3.05,silty clay,coal,brown and grey,"Till, brown and grey, very silty clay, wet. Pebbles, coal and occasional sand grains.",
126,1,10,18,feet,3.05,5.49,3.05,5.49,silty shale,,bluish grey,"Bedrock, grey-bluish grey silty shale. Samples are contaminated and appear banded blue and brown. Bedrock is probably clayey bluish grey silty shale.",
127,1,0,5,feet,0,1.52,0,1.52,overburden,,,Overburden,
127,1,5,13,feet,1.52,3.96,1.52,3.96,sand,,brown,"Sand, very fine grain, weathered, very silty, dirty. Brown till overlying sand.",
127,1,13,16,feet,3.96,4.88,3.96,4.88,till,clay,grey,"Grey till, clay silty. Water at 20",Water is noted at 20 but hole is only 19 deep.
127,1,16,19,feet,4.88,5.79,4.88,5.79,shale,,dark grey,"Bedrock, dark grey, very silty shale",
128,1,0,15,feet,0,4.57,0,4.57,till,,brown,"Till, brown, very sandy and silty, weathered gypsiferous. Layer of water sand at 6 - abundant pebbles in till.",
128,1,15,47,feet,4.57,14.33,4.57,14.33,silty till,,bluish grey to dark grey,"Bluish grey to dark grey, till firm, very silty, with pebbles. Water added (at 30) to hole.",
128,1,47,48,feet,14.33,14.63,14.33,14.63,sand,,,"Sand - very coarse - very fine, water bearing",
128,1,48,69,feet,14.63,21.03,14.63,21.03,till,,dark grey,"Till, dark grey, as above. Suspect increase in pebble content from 52. Hole core from 49 - 59. Washed sample 58 - 59 because of very heavy mud coating. Bottom in till at 69.",
132,1,0,25,feet,0,7.62,0,7.62,clay,,brown,"Till brown weathered - clay with pebbles. Common wisps of sand and silt, trace carbon material and gypsum.",
132,1,25,29,feet,7.62,8.84,7.62,8.84,till,,dark grey,Till very sandy wet with abundant pebbles.,
132,1,29,31,feet,8.84,9.45,8.84,9.45,till,lacustrine clay,dark grey,till dark grey clay - lake type deposit,
132,1,31,52,feet,9.45,15.85,9.45,15.85,till,,dark grey,Till dark grey very silty with abundant pebbles.,
132,1,52,60,feet,15.85,18.29,15.85,18.29,fine sand,,,Sand fine well sorted clean - wet typical glacial,
132,1,60,65,feet,18.29,19.81,18.29,19.81,till,,dark grey,Till dark grey very silty smooth with trace lst pebbles,
132,1,65,78,feet,19.81,23.77,19.81,23.77,sand and gravel,,,Sand and gravel,
132,1,78,95,feet,23.77,28.96,23.77,28.96,silty till,,dark grey,Till dark grey as above,
132,1,95,100,feet,28.96,30.48,28.96,30.48,shale,,dark grey,Bedrock - dark grey hard shale,
133,1,0,15,feet,0,4.57,0,4.57,till,,brown,"Brown silty weathered till, rare pebbles (patches). 15: Water table.",
133,1,15,69.5,feet,4.57,21.18,4.57,21.18,till,,dark grey,"Dark grey till, silty and sandy with pebbles with occasional sand lenses (typical glacial outwash)",
133,1,69.5,74,feet,21.18,22.56,21.18,22.56,shale,,blue grey,"Bedrock shale, bl. grey, silty, firm, slight silty increase with depth",
133x,1,0,3,feet,0,0.91,0,0.91,fill,,,Road fill,
133x,1,3,11,feet,0.91,3.35,0.91,3.35,sand,,,Porous weathered sands. Ground water 9.,
133x,1,11,13,feet,3.35,3.96,3.35,3.96,fine sand,,,"Fine sand with silt, wet.",
133x,1,13,25,feet,3.96,7.62,3.96,7.62,till,,dark grey,"Dark grey till, very silty, relatively free of pebbles.",
133x,1,25,37,feet,7.62,11.28,7.62,11.28,clay,,greenish grey to light grey,"Greenish grey (resembles bedrock) but with pebbles. Grey, light - very silty and sandy clay with concretions in it.",
134,1,0,3,feet,0,0.91,0,0.91,fill,,,Fill material,
134,1,3,6,feet,0.91,1.83,0.91,1.83,sand,,brown,Glacial sand very fine grain wet weathered brown silty,
134,1,6,13,feet,1.83,3.96,1.83,3.96,shaley clay,,grey brown,"Bedrock - shaley clay grey brown, silty common mica and carbonaceous specks",
135,1,0,5,feet,0,1.52,0,1.52,till,,brown,"Till, brown, silty",
135,1,5,9,feet,1.52,2.74,1.52,2.74,bedrock,,brown-chocolate,"Bedrock, brown-chocolate, silty, firm and dry",
136,1,0,12,feet,0,3.66,0,3.66,clay,,,"Clay, very silty with sand stringers probably lake deposits",
136,1,12,19,feet,3.66,5.79,3.66,5.79,shale,,brown,"Bedrock - brown, silty, dry shale",
137,1,0,3,feet,0,0.91,0,0.91,fill,,,Fill material,
137,1,3,12,feet,0.91,3.66,0.91,3.66,till,,brown,"till, brown, silty, weathered",
137,1,12,22,feet,3.66,6.71,3.66,6.71,till,,grey,"Till, grey, very silty.",
137,1,22,28,feet,6.71,8.53,6.71,8.53,clay,,light bluish grey,"Bedrock, light bluish grey, very silty clay, very sandy, abundant quartz. Water at 22.",
138,1,0,6,feet,0,1.83,0,1.83,till,,grey brown to yellow brown,"Till, grey brown, silty with zone at base; yellow brown, very fine silt.",
138,1,6,8,feet,1.83,2.44,1.83,2.44,clay,,grey,"Bedrock - grey, very silty clay",
139,1,0,6,feet,0,1.83,0,1.83,till,,brown,"Till, brown, silty, firm",
139,1,6,10,feet,1.83,3.05,1.83,3.05,sandy clay,,,"Sandy clay with pebbles; weathered, suspect is till.",
139,1,10,14,feet,3.05,4.27,3.05,4.27,clay,,grey,"Bedrock - clay, grey, silty to sandy (qtz); very porous",
140,1,0,4,feet,0,1.22,0,1.22,fill,,,Fill,
140,1,4,16,feet,1.22,4.88,1.22,4.88,till,,brown,Brown till,
140,1,16,37,feet,4.88,11.28,4.88,11.28,till,,grey,Grey till,
140,1,37,44,feet,11.28,13.41,11.28,13.41,shale,,grey,Bedrock - grey shale,
141,1,0,2,feet,0,0.61,0,0.61,fill,,,Fill,
141,1,2,5,feet,0.61,1.52,0.61,1.52,till,,brown,Brown clayey till,
141,1,5,7,feet,1.52,2.13,1.52,2.13,till,,bright brown,Bright brown silty till,
141,1,7,14,feet,2.13,4.27,2.13,4.27,till,,brown,Brown clayey till,
141,1,14,20,feet,4.27,6.1,4.27,6.1,till,,grey,Grey clayey till; 20 Water,
141,1,20,22,feet,6.1,6.71,6.1,6.71,sand,,grey,Sand very fine grain - med. grey (lens in till),
141,1,22,47,feet,6.71,14.33,6.71,14.33,till,,grey,"Till grey with sand grains, occasional pebble of lt. grey - buff",
141,1,47,49,feet,14.33,14.94,14.33,14.94,shale,,grey,Bedrock  grey shale,
142,1,0,11,feet,0,3.35,0,3.35,till,,brown,Brown sandy weathered till; common very fine coarse sand grains and occasional pebbles,
142,1,11,70,feet,3.35,21.34,3.35,21.34,till,,dark grey,"Till dark grey very silty with pebbles lst granite etc.; 20 - 25: silty, increase in moisture content; 30 - 35 Till dark grey very silty with occasional pebbles also fragments of local brown bedrock shale; 40 - 50: Till dark grey very silty slightly sandy with occasional pebbles, increase in moisture",Depths uncertain
142,1,70,87,feet,21.34,26.52,21.34,26.52,pebbly till,,dark grey,70: very pebbly; 80- 87: Till dark grey very silty with pebbles,Depths uncertain
142,1,87,92,feet,26.52,28.04,26.52,28.04,clay,,bluish grey,"Bedrock - bluish grey, very silty and sandy clay",
143,1,0,13,feet,0,3.96,0,3.96,till,,brown,"Brown till, very silty with occasional pebbles. But is well weathered and stained (iron).",
143,1,13,60,feet,3.96,18.29,3.96,18.29,till,,dark grey,"Dark grey, very silty clay till, relatively free from pebbles etc.",
143,1,60,65,feet,18.29,19.81,18.29,19.81,till,,,Zone of 5 very sandy till from 60 - 65; water wet,
143,1,65,74,feet,19.81,22.56,19.81,22.56,no data,,,Sample 68 - 69 is representative of the T.D. 74,
144,1,0,5,feet,0,1.52,0,1.52,till,,brown,"Till, brown with pebbles, is weathered",
144,1,5,7,feet,1.52,2.13,1.52,2.13,sand,,,"Sand, very coarse grain to very fine, clean glacial origin qtz. sand, occasional pebbles in sand. Water wet.",
144,1,7,11,feet,2.13,3.35,2.13,3.35,till,,dark brown grey,"Till, dark brown grey silty with small and large 1"" diameter pebbles of qtzite present.",
144,1,11,21,feet,3.35,6.4,3.35,6.4,till,,bluish grey,Till bluish grey,
144,1,21,24,feet,6.4,7.32,6.4,7.32,shale,,bluish grey,"Shale bedrock bluish grey very silty, sl. sandy.",
145,1,0,9,feet,0,2.74,0,2.74,till,,brown,"Brown till very silty and sandy, weathered",
145,1,9,12,feet,2.74,3.66,2.74,3.66,till,,bluish grey,"Bluish grey, very silty",
145,1,12,25.5,feet,3.66,7.77,3.66,7.77,till,,dark grey,"Dark grey very silty till, occasional pebbles",
145,1,25.5,26,feet,7.77,7.92,7.77,7.92,very fine sand,,grey,"Water bearing sand at 26, very fine, grey, qtz, clean grains",
145,1,26,29,feet,7.92,8.84,7.92,8.84,till,,dark grey,Till as above,
145,1,29,34,feet,8.84,10.36,8.84,10.36,sand and gravel,,,Sand and gravel,
145,1,34,46,feet,10.36,14.02,10.36,14.02,till,,,Till,
145,1,46,48,feet,14.02,14.63,14.02,14.63,clay,,bluish grey,"Bedrock? bluish grey, very silty clay. Water added to hole at 27. Water appears to be flowing fairly heave, i.e., from sand at 26.",
146,1,0,3,feet,0,0.91,0,0.91,till,coal,brown,Till brown with coal fragments,
146,1,3,18,feet,0.91,5.49,0.91,5.49,sand,,brown,"Sand, brown very fine grain. Clean, weathered. Water at 8.5. ? - 16: Sand, clean uniform very fine - fine grain, well sorted.",
147,1,0,2,feet,0,0.61,0,0.61,fill,,,Fill material,
147,1,2,9,feet,0.61,2.74,0.61,2.74,till,,brown,"Till, brown, weathered, rare pebbles, very silty",
147,1,9,13,feet,2.74,3.96,2.74,3.96,clay,,grey,"Bedrock - grey, very silty, clay",
148,1,0,2,feet,0,0.61,0,0.61,till,,grey and brown,"Till, grey and brown, silty",
148,1,2,9,feet,0.61,2.74,0.61,2.74,shale,,,"Bedrock, shale, silty, sl. weathered with trc. carb. material",
149,1,0,1,feet,0,0.3,0,0.3,silty fine sand,,brown,"Sand, very fine grey silty, brown weathered",
149,1,1,2,feet,0.3,0.61,0.3,0.61,till,,brown,"Till brown, silty, dry, weathered",
149,1,2,4,feet,0.61,1.22,0.61,1.22,till?,,brown,"Sandy bottom 2 sand - pebbly, very weathered",
149,1,4,13,feet,1.22,3.96,1.22,3.96,clay,,light grey,"Bedrock. Light grey, silty clay",
15,1,0,15,feet,0,4.57,0,4.57,till,,brown,Brown weathered sandy clay till,
15,1,15,24,feet,4.57,7.32,4.57,7.32,till,,,"Till less sandy with abundant pebbles, weathered with iron.",
15,1,24,40,feet,7.32,12.19,7.32,12.19,till,,grey,Till grey very silty with sand trace shale fragments and abundant pebbles; 30: Water table,
15,1,40,50,feet,12.19,15.24,12.19,15.24,till,,dark grey,"Till dark grey very silty with abundant pebbles of chert, peat, etc.",
15,1,50,52,feet,15.24,15.85,15.24,15.85,shale,,dark grey brown,Shale boulder in till dark grey with brown cast - lake type clay,
15,1,52,68,feet,15.85,20.73,15.85,20.73,till,,,Till very silty few pebbles,
15,1,68,85,feet,20.73,25.91,20.73,25.91,shale and silty clay,,brown green; grey,Bedrock? brown green shale banded with grey silty clay. Generally very plastic.,
150,1,0,0.5,feet,0,0.15,0,0.15,till,,brown,Brown till,
150,1,0.5,5,feet,0.15,1.52,0.15,1.52,clayey sandstone,,brown,"Clayey sandstone, brown",
150,1,5,8,feet,1.52,2.44,1.52,2.44,shale,,brown,"Brown shale, sandy in the upper portion; pure brown shale from 8 down.",
150,1,8,13,feet,2.44,3.96,2.44,3.96,shale,,brown,,
151,1,0,3,feet,0,0.91,0,0.91,not indicated,,,,
151,1,3,12,feet,0.91,3.66,0.91,3.66,sand,,,"Glacial outwash sand, medium to coarse. 9: water",
151,1,12,13,feet,3.66,3.96,3.66,3.96,shale,,bluish grey,"Grey, tough shale, bluish. No till. Good till is found all around on surface.",
152_redrill,1,0,25,feet,0,7.62,0,7.62,till,,brown,Brown silty weathered clay till with occasional pebbles and common sand lenses.,
152_redrill,1,25,35,feet,7.62,10.67,7.62,10.67,till,,grey,Till clay grey silty slightly weathered with pebbles,
152_redrill,1,35,65,feet,10.67,19.81,10.67,19.81,till,,dark grey,Till clay dark grey very silty,
152_redrill,1,65,83,feet,19.81,25.3,19.81,25.3,shale,,grey to dark grey,Bedrock shale grey - dark grey silty with concretions of shale present.,
153,1,0,18.5,feet,0,5.64,0,5.64,till,,brown,"Till brown dirty weathered with pebbles and trace gypsum - abundant iron staining, rare limestone fragments.",
153,1,18.5,23,feet,5.64,7.01,5.64,7.01,till,,dark grey,"Till grey - dark grey, slightly weathered with pebbles",
153,1,23,40,feet,7.01,12.19,7.01,12.19,clay,,dark grey,"Dark grey, very silty clay, relatively few pebbles",
153,1,40,51,feet,12.19,15.54,12.19,15.54,till,,dark grey,Till dark grey silty without any pebbles,
153,1,51,80,feet,15.54,24.38,15.54,24.38,till,,dark grey,till clay dark grey very silty with trace pebbles,
155,1,0,15,feet,0,4.57,0,4.57,till,,dark brown,Till dark brown weathered clay silty minor sand wisps trace pebbles,
155,1,15,65,feet,4.57,19.81,4.57,19.81,silty till,,dark grey,Till dark grey very silty with small pebbles pred. granite,
155,1,65,70,feet,19.81,21.34,19.81,21.34,till,,,Till clay clean plastic with abundant  bedrock frags.,
155,1,70,75,feet,21.34,22.86,21.34,22.86,shale,,"grey, greenish grey",Bedrock shale grey very silty dry occasionally greenish grey.,
156,1,0,9,feet,0,2.74,0,2.74,clayey till,,brown,"Till - brown, clayey",
156,1,9,13,feet,2.74,3.96,2.74,3.96,shale,,"brown, light grey","Bedrock brown shale, light grey. Shale starts at 9 and to bottom of hole.",
157,1,0,4,feet,0,1.22,0,1.22,till,,brown,brown clayey till,
157,1,4,9,feet,1.22,2.74,1.22,2.74,sandstone,,grey,"Bedrock, SS, grey. 9: small shale stringer, brown",
157,1,9,13,feet,2.74,3.96,2.74,3.96,sandstone,,brown,"Clayey sandstone, brown",
158,1,0,1,feet,0,0.3,0,0.3,till,,brown,till - brown,
158,1,1,9,feet,0.3,2.74,0.3,2.74,shale,,brown,"Shale, brown, soft, with small grey streaks",
159,1,0,1,feet,0,0.3,0,0.3,till,,brown,till - brown,
159,1,1,5,feet,0.3,1.52,0.3,1.52,sandstone and shale,,brown,"Bedrock - SS with some shale, brown; some iron oxide staining. 5: Water - wet clay",
159,1,5,8,feet,1.52,2.44,1.52,2.44,sandstone,,brown,SS - brown,
160,1,0,6,feet,0,1.83,0,1.83,till,,brown,"Till, brown, sandy",
160,1,6,7,feet,1.83,2.13,1.83,2.13,bentonite,,brown,"Bentonite, brown, silty",
160,1,7,9,feet,2.13,2.74,2.13,2.74,shale,,brown,"Bedrock - shale, brown, silty, carb. dry.",
161,1,0,8,feet,0,2.44,0,2.44,till,,brown,"till, brown, very silty, dirty with pebbles",
161,1,8,14,feet,2.44,4.27,2.44,4.27,bedrock,,grey,"Bedrock - grey silty, firm.",
162,1,0,10,feet,0,3.05,0,3.05,till,,brown,"Till, brown, silty, dirty with common pebbles",
162,1,10,14,feet,3.05,4.27,3.05,4.27,shale,,greenish grey,"Bedrock - greenish grey, very silty, dry shale",
163,1,0,10,feet,0,3.05,0,3.05,till,sand,brown,"Till, brown clay, very sandy, grades into sand, very clayey, dirty weathered brown sand is very fine grain, loose",
163,1,10,15,feet,3.05,4.57,3.05,4.57,till,,brown and yellow,Till brown clay with pebbles; weathered brown (rich) and yellow,
163,1,15,38,feet,4.57,11.58,4.57,11.58,till,,dark grey,"Till, dark grey, very silty with pebbles. Water at 31.",
163,1,38,49,feet,11.58,14.94,11.58,14.94,sand and gravel,,,Bedrock. Sand and gravel - suspect Sask. sands and gravels; brown weathered with chert pebbles - sub rdd. etc. Sample taken for thesis work. Driller: Suspect layers of silty sand and sand.,
164,1,0,15,feet,0,4.57,0,4.57,till,,dark brown to light yellow,Till - weathered clay very silty with sand patches dark brown to light yellow brown very few pebbles.,
164,1,15,22,feet,4.57,6.71,4.57,6.71,till,,dark brown,"Till very silty with very rare pebbles, weathered dark brown",
164,1,22,26,feet,6.71,7.92,6.71,7.92,clay,,dark grey,Lake type deposit - clay very silty bedded slightly weathered originally dark grey.,
164,1,26,53,feet,7.92,16.15,7.92,16.15,sand,,,Sand very fine grain to medium well sorted clean water wet.,
