"ART_ID","TAB_NAME","TITLE","ARTIST","ADDRESS","SHORT_DESC","DESC1","DESC2","DESC3","WEBSITE","longitude","latitude","location","City_Quadrants","Ward_Boundaries","Calgary_Communities"
"P2007.006.002 A-C","Northeast","Topiary Quilts","Jim Hirschfield and Sonya Ishii","McKnight/Westwinds LRT Station (6200 36th St. N.E.)","Located near the parking entrance along the South side of the park-n-ride, these metal fence-like structures help define the boundary of this site.","Standing over seven feet in height, the images on the Quilts are directly related to the shapes and forms found in the Topiary sculpture located in the plaza area of the LRT station. They also reference the images dotted across the glass heating shelters on the station platform, continuing the playful dialogue the artists have featured throughout this site.","""References to the Blackfoot Nation have been included through the artist's use of circle motifs, an element commonly found in many Blackfoot creations. The Blackfoot are one of the oldest aboriginal nations to inhabit Calgary, and the artist's inclusion of this imagery acts as a way to continue their historical connection to this site and to the community of Calgary as a whole.""","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Recollections.pdf&noredirect=1&sf=1","-113.975715860807","51.1070475257993","""(51.107047525799, -113.975715860807)""","4","9","80"
"P2007.006.003 A-B","Northeast","Recollections (heating shelter glass)","Jim Hirschfield and Sonya Ishii","McKnight/Westwinds LRT Station (6200 36th St. N.E.)","This public artwork is one of four installations at this LRT station.","Located in the glass heating shelters on the LRT platform, these spheres of colour appear to be dots from a distance, dancing around the glass. But as viewers draw closer it is clear these dots contain photographs of people living everyday life.","""A vital component of this public art project was the inclusion of community residents in the creation of the piece. One of four installations located at the McKnight/Westwinds LRT station, Recollections invites the viewer to learn more about the community members living in the area.""","A call went out to Calgarians living in the N.E. to contribute images of their lives. From a historical photograph of Mrs. Brown with her brand new stove to an image of a resident's parents married in India in 1945, these photographs provide viewers a glimpse into significant personal, historical and community events; all of the elements that make this community a unique and special place.","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Recollections.pdf&noredirect=1&sf=1","-113.975430373557","51.1094040450471","""(51.109404045047, -113.975430373557)""","4","9","80"
"P2007.007.001 A-G","Southeast","Steward","Thomas Sayre","The City of Calgary Water Centre (625 Spiller Road S.E.)","A collaborative effort between the artist and a landscape architect has transformed this garden into a functional work of art; one which draws our attention to our use and re-use of water.","Original earth cast vessels help to define this space and serve to illustrate the water harvest cycle which purposefully occurs on the Water Centre site. Representing the ancient practice of collecting and transporting water in clay pots, these vessels are directly integrated into the garden's self-sustainable irrigation system.","The man-formed river beds feed water from the building's roof throughout the landscape and past the benches designed by the artist where one may pause to reflect on the surrounding natural environment.","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Steward.pdf","-114.048603046373","51.0288152727708","""(51.028815272771, -114.048603046373)""","3","10","160"
"P2007.008.001","Southeast","Frozen Dreams","Blake Williams","Max Bell Arena (1001 Barlow Tr. S.E.)","Located in the entry area of the Max Bell Arena, this mural celebrates the sport of hockey.","Designed as a welcoming feature, the public artwork is intended to act as a document of the building's history, becoming a community scrapbook through the use of photographs and images provided by local teams and community members.","The result is an animated and celebratory experience which reflects the importance of hockey to this site and to Calgary.","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Frozen-Dreams.pdf","-114.004353906016","51.0424169510684","""(51.042416951068, -114.004353906016)""","3","12","121"
"P2008.003.001 A-AP","Northwest","The Colour of Snow","Barbara Grygutis","""Crowfoot LRT connector bridge, west side""","Conceptually and visually linked to the watercolour-like glass on the LRT station windows, the artwork in these railings is inspired by the artist's first visit to Calgary.","These 12 snowflake patterns emulate a snowstorm, drawing our attention to the unique forms that are built by nature, in an environment built by man. Pedestrians are able to enjoy the railings on a personal level, engaging with both the infrastructure and the shadows they cast as they walk by.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/The-Colour-of-Snow-Public-Artwork.aspx","-114.206982960297","51.1229249131871","""(51.122924913187, -114.206982960297)""","2","3","244"
"P2008.003.001 A-AP","Northwest","The Colour of Snow","Barbara Grygutis","Nosehill Drive overpass at Crowchild Trail N.W .","Conceptually and visually linked to the watercolour-like glass on the LRT station windows, the artwork in these railings is inspired by the artist's first visit to Calgary.","These 24 snowflake patterns emulate a snowstorm, drawing our attention to the unique forms that are built by nature, in an environment built by man. Pedestrians are able to enjoy the railings on a personal level, engaging with both the infrastructure and the shadows they cast as they walk by.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/The-Colour-of-Snow-Public-Artwork.aspx","-114.209095413734","51.1234253384395","""(51.12342533844, -114.209095413734)""","2","3","148"
"P2008.003.001 A-AP","Northwest","The Colour of Snow","Barbara Grygutis","Crowfoot LRT Station (1860 Scurfield Dr. N.W.) south glass window","Conceptually and visually linked to the railings on the nearby interchanges, the artwork in these glass windows is inspired by the artist's first visit to Calgary.","The background image of the setting sun was originally captured by the artist as she flew into Calgary for her first site visit. The dramatic colours were translated from a photograph into a watercolour-like glass composition. This was combined with snowflake images, designed to highlight their distinctive molecular structures, in the hopes of drawing the viewer's attention to the unique forms that are built by nature, in an environment built by man.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/The-Colour-of-Snow-Public-Artwork.aspx","-114.207074423425","51.1225826241342","""(51.122582624134, -114.207074423425)""","2","3","148"
"P2009.001.001 A-B","Northeast","bearing","Douglas Senft","Fire Apparatus and Repair Facility (1755 18th Ave. N.E.)","Inspired by the unseen work behind the doors of the Fire Apparatus and Repair Facility this multi piece installation is an abstracted representation of fastening and moving systems.","The personnel in this facility play a vital and supporting role to the Calgary Fire Department.  As behind the scenes work often goes uncelebrated, the artist's vision was to bring outside a larger than life representation of what occurs within the inside of this facility.","""The arch is inspired by locking and flat wave washers, modified to create an iconic arch.  Further down site is a sphere reminiscent of ball bearings which are an integral part of any moving system. Settled into the ground, these works become both a singular and united element dependent upon the viewers position.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-bearing.pdf","-114.018704546227","51.0679015629987","""(51.067901562999, -114.018704546227)""","4","9","141"
"P2009.002.001","Downtown","SWARM","Stuart Keeler","6th St. S.W. LRT Station","Looking up and around, visitors to this LRT platform are surrounded by warmth and colour.","Vibrant colours meld with a swarm of leaf seeds whose chaotic patterns are not unlike those of transit commuters during rush hour; rushing and intermingling to move from here to there. These leaf seeds are also commonly referred to as keys. Can you find the other hidden keys in this installation?","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-SWARM.pdf","-114.074877727924","51.0467935670005","""(51.046793567001, -114.074877727924)""","1","14","262"
"P2009.004.001","Southwest","Body Mind Spirit","Blake Williams","Southland Leisure Centre (2000 Southland Dr. S.W.)","A lively mosaic greets any visitor entering the lobby of Southland Leisure Centre. Glass, text, ceramics and photography all combine to tell the story of this community focused site.","Images celebrating the activities hosted at this facility and the cultural diversity of the surrounding communities combine to highlight the importance of supporting the body, mind and spirit of the individual and the collective.","""Details small and large are all intrinsic to this artwork, as seen through the artist's use of the word """"welcome"""", translated into more than 30 languages, and incorporated this text throughout. Can you find them all?""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Body-Mind-Spirit.pdf","-114.108012404767","50.9623127740886","""(50.962312774089, -114.108012404767)""","1","8","66"
"P2009.005.001 A","Northeast","Rhythms I","Karen Ho Fatt","Village Square Leisure Centre (2623 56th St. N.E.)","Two artful benches, full of whimsy, celebrate Village Square Leisure Centre and the services it provides to our community.","These functional sculptures use shapes and kinetic forms to provide a sense of movement, energy and vitality to connect the work to the theme of recreational activity. Bold colours represent the cultural vitality of the Centre, while images and motifs reflective of cultural groups are incorporated within, referencing the diversity of the community users of this facility.","""Blue waves, Buddhist wheels, figures in motion and interactive activities invite you to sit, pause and maybe even play.""","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Rhythms.pdf&noredirect=1&sf=1","-113.95456348062","51.075740027714","""(51.075740027714, -113.95456348062)""","4","9","36"
"P2009.005.001 B","Northeast","Rhythms II","Karen Ho Fatt","Village Square Leisure Centre (2623 56th St. N.E.)","Two artful benches, full of whimsy, celebrate Village Square Leisure Centre and the services it provides to our community.","These functional sculptures use shapes and kinetic forms to provide a sense of movement, energy and vitality to connect the work to the theme of recreational activity. Bold colours represent the cultural vitality of the Centre, while images and motifs reflective of cultural groups are incorporated within, referencing the diversity of the community users of this facility.","""Blue waves, Buddhist wheels, figures in motion and interactive activities invite you to sit, pause and maybe even play.""","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-Rhythms.pdf&noredirect=1&sf=1","-113.954690386864","51.0756944093646","""(51.075694409365, -113.954690386864)""","4","9","36"
"P2010.001.001 A-C","Northeast","Triclopse","Luke Blackstone","Multi Services Station (80th Avenue and Saddletowne Circle N.E.)","Located at the front of the building, this installation features three unified sculptures, each representing one of the emergency services housed at this location.","<i>Triclopse employs three aesthetic but functional sirens that represent the services provided by Police (copper), Fire (red) and EMS (silver) all of whom function out of this facility, working both separately and jointly as an active, unified set of protective services.</i>","""One commonality of these three organizations is their historical use of the siren as a means to alert the community. The sound of the siren is universally recognizable and is generated simply by directing a stream of air through holes that rapidly open and close. Most siren sounds today are produced electronically, but previously they were driven by electric motors or even hand-cranked.""","The three wheels in this sculpture may be rotated individually by turning the crank on the sculptures base, however, the effort needed is considerable. When two or three viewers participate by turning all of the crank-wheels at the same time, the drums can be spun easier and faster, creating a louder sound.","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Triclopse.pdf","-113.945132474999","51.1248425003892","""(51.124842500389, -113.945132474999)""","4","11","2"
"P2010.002.001","Southeast","Guardian","Tony Stallard","Manchester Centre entrance (25 Ave. S.E.)","This steel sculpture towers over the site as if watching over or guarding this civic complex. Illuminated at night, it becomes a beacon of light marking the entry to the Manchester Centre.","The work refers to the notion of industrial units, one stacked upon the other, suggesting an inter-related dependence or a hierarchical infrastructure that relates to the current use of this civic site.","","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Guardian.pdf","-114.046900598334","51.0284817921071","""(51.028481792107, -114.046900598334)""","3","10","160"
"P2010.003.001","Southwest","Realidoscope","Silver Light Art Projects","Mission Cliff Bungalow Promenade (Elbow Drive and 25th Ave S.W.)","Realidoscope captures people, architecture and the natural environment found along the river pathway.","Looking through the viewfinder the reflected surroundings are accented by the ever-changing motion of nature and people around this site.","""The artist believes the use of prisms lends itself to interactive situations and community involvement, and allows the viewer to engage in the act of transition and change. That we are living in a world which is continually being rearranged and reassembled, much like the way prisms rearrange our point of view in Realidoscope.""","","","-114.071019665898","51.0295820703499","""(51.02958207035, -114.071019665898)""","1","14","297"
"P2012.001.001","Downtown","TransitStory","Jill Anholt","Centre Street LRT Platform","Enlivening the experience of the Centre Street LRT station are 30 sculptural commuters standing alongside transit users, collectively waiting for the next train to arrive.","Thousands of people wait in spontaneous collectivity on the LRT platform. In transit, they wait alone  - vaguely aware of the anonymous presence of others. Each individual shares a brief moment in time and space; a temporary moment of belonging.","""TransitStory evokes the ephemeral presence and memory of travellers. Present and absent, seen and unseen, this work seeks to capture the fleeting trace of human presence within public space.""","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Downtown-Gateway-LRT-Stations.aspx","-114.061041857442","51.0463688281438","""(51.046368828144, -114.061041857442)""","3","7","262"
"P2012.002.001","Northeast","Confluence","David Dahlquist with RDG Dahlquist Art Studio","Martindale LRT Station (618 Martindale Blvd. N.E.)","Weaving together the physical and symbolic connections of people and place, these two murals were designed by the artist and the community.","A combination of LED lighting, glazed terra cotta and laser-cut steel are featured on both sides of this exterior transit station. The viewer is invited to view the symbols created by the community members, their diversity highlighting how individually people can interpret their connection to a """"place"""". Flowers, houses, maple leafs, cowboy boots and animals are just some of the elements which the community have defined as being significant to them, personally.","""Dynamic and fluid in the day, this installation glows at night shifting the focus from the symbols to elements representing waves. This acknowledges the significance of our rivers, one of the most defining elements of our city; both an original mode of transportation and a common link to connect the stories of our history and the stories of today.""","","https://www.calgary.ca/_layouts/cocis/DirectDownload.aspx?target=http%3a%2f%2fwww.calgary.ca%2fCSPS%2fRecreation%2fDocuments%2fPublic-art%2fPercent-for-Public-Art-MartindaleLRT.pdf&noredirect=1&sf=1","-113.96824272334","51.1176220333089","""(51.117622033309, -113.96824272334)""","4","9","180"
"P2012.003.001","Downtown","Ascension","INCIPIO MODO","Poetic Park ( Fourth Avenue and Ninth Street S.W.)","These two ascending creatures vary in scale and form depending upon the observer's viewpoint.","To the pedestrian they are larger than life, ascending and climbing throughout the landscape. To those in the neighbouring buildings, their form and motion define the space they inhabit.","""Fabricated locally, these sculptures were purposefully constructed to be modular in nature, consisting of three sections to be assembled like a tripod. This format allowed the composition of each of the insects to be determined by the terrain of the park, as the three sections were able to be adjusted and formed to respond to the site itself. Each creature is the same, yet has its own unique perspective.""","","https://www.calgary.ca/CSPS/Recreation/Documents/Public-art/Percent-for-Public-Art-Ascension.pdf","-114.083680855955","51.0496215542626","""(51.049621554263, -114.083680855955)""","1","14","45"
"P2012.005.001","Southeast","Calgary Hawk Hill Sentinels","Beverly Pepper","Ralph Klein Park (12350 84th St. S.E.)","From a distance, visitors to Ralph Klein Park will notice three monolithic sculptures rising above two pyramid-like mounds. This is Hawk Hill Calgary Sentinels.","Rising into the sky, it is impossible not to feel the presence of the sculptural landforms. The mounds physically define this place, drawing us to them by their sheer presence, making us aware of the vastness of this site. The core-ten steel sculptures seem to be timeless in age, their massive forms highlighting the significance of this wetland location to our city and our environment.","""""""The monoliths...are meant to herald the uniqueness of the wetlands...(and) offer a place for reflection and contemplative thought..."""" - Beverly Pepper""","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Hawk-Hill-Calgary-Sentinels-Public-Artwork.aspx","-113.9014875928","50.9375868684979","""(50.937586868498, -113.9014875928)""","3","4","211"
"P2013.001.001","Northeast","Travelling Light","inges idee","96 Avenue N.E. (Near Airport Trail and Deerfoot Trail Interchange)","Simple in form, yet bold in appearance, this functional and sculptural public art installation soars 17 meters into the sky.","<i>Travelling Light is a site-specific sculpture that examines and brings to life the theme of movement.  Functioning as a street lamp, the structure serves to frame the landscape around it.  This large circular form makes reference to one of the oldest symbols of transportation in existence, the wheel.</i>","""Pedestrians, cyclists, vehicles, trains and planes all pass by this landmark, each engaging in their own specific mode of transportation. Motion and movement are referenced and united figuratively by a universal symbol, the circle.""","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/96-Avenue-NE.aspx","-114.041870675757","51.1424325773849","""(51.142432577385, -114.041870675757)""","4","11","163"
"P2013.002.001","Downtown","Luminous Crossings","Cliff Garten","City Hall LRT Station (Third St. S.E.)","This interactive public art installation consists of 20 components: two large-scale vertical sculptures, plus three hanging works, on four stations located at either end of the Seventh Avenue LRT line.","Referencing the idea of the living room or waiting area, there are four chandelier-like hanging sculptures in each canopy of the east and west gateway stations that give the waiting areas of the platforms a different quality. Additionally, their changing light show is a pleasant surrounding while waiting for the train.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Downtown-Gateway-LRT-Stations.aspx","-114.056673544737","51.0462987504574","""(51.046298750457, -114.056673544737)""","3","7","262"
"P2013.002.001","Downtown","Luminous Crossings","Cliff Garten","Downtown West - Kerby LRT Station (10th St. S.W.)","This interactive public art installation consists of 20 components: two large-scale vertical sculptures, plus three hanging works, on four stations located at either end of the Seventh Avenue LRT line.","Referencing the idea of the living room or waiting area, there are four chandelier-like hanging sculptures in each canopy of the east and west gateway stations that give the waiting areas of the platforms a different quality. Additionally, their changing light show is a pleasant surrounding while waiting for the train.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Downtown-Gateway-LRT-Stations.aspx","-114.087477731806","51.0471864950754","""(51.047186495075, -114.087477731806)""","1","14","45"
"P2013.002.001","Downtown","Luminous Crossings","Cliff Garten","Downtown West - Kerby LRT Station (10th St. S.W.)","This interactive public art installation consists of 20 components: two large-scale vertical sculptures, plus three hanging works, on four stations located at either end of the Seventh Avenue LRT line.","These illuminated sculptures are integrated with Calgary's LRT system to change colours when the train arrives, docks and leaves the station. The structures of the sculptures are developed from images of rail transportation, connecting the artwork directly to the purpose and use of this site.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Downtown-Gateway-LRT-Stations.aspx","-114.086933384706","51.0471537021363","""(51.047153702136, -114.086933384706)""","1","14","45"
"P2013.002.001","Downtown","Luminous Crossings","Cliff Garten","City Hall LRT Station (Third Street. S.E.)","This interactive public art installation consists of 20 components: two large-scale vertical sculptures, plus three hanging works, on four stations located at either end of the Seventh Avenue LRT line.","These illuminated sculptures are integrated with Calgary's LRT system to change colours when the train arrives, docks and leaves the station. The structures of the sculptures are developed from images of rail transportation, connecting the artwork directly to the purpose and use of this site.","","","https://www.calgary.ca/CSPS/Recreation/Pages/Public-Art/Downtown-Gateway-LRT-Stations.aspx","-114.056421884395","51.0462915006327","""(51.046291500633, -114.056421884395)""","3","7","262"
